project_id,project_name,project_type,work_category,state,district,constituency,location,latitude,longitude,estimated_cost,sanctioned_amount,released_amount,utilized_amount,actual_cost,number_of_payments,sanction_date,work_order_date,planned_completion_date,actual_completion_date,delay_days,physical_progress,financial_progress,work_status,inspection_count,last_inspection_date,issues_reported,issues_resolved,implementing_agency,agency_type,contractor_id,contractor_name,contract_value,tender_id,estimated_tender_value,bid_count,winning_bid,second_lowest_bid,procurement_method,estimated_beneficiaries,population_served,dataset_type
MPLAD-ROA-0062,Road Project 62,road,road,Bihar,District D,Constituency 15,Location 62,11.18059,85.51626,3319000.0,3206739.54,3001132.34,2455956.26,3711751.1,4,2023-06-26,2023-07-25,2024-03-21,2024-03-12,-9,80.0,79.0,Completed,5,2023-12-11,2,0,PWD,Government,CONT-1653,Contractor 28,3063664.92,TND-52247,3227267.63,7,3215460.77,3421562.83,Direct Contract,6218,6508,synthetic
MPLAD-ROA-0063,Road Project 63,road,road,Bihar,District A,Constituency 9,Location 63,23.60483,72.73645,2539000.0,2622617.5,2085661.31,2006537.7,2855271.57,3,2023-03-06,2023-03-17,2023-11-12,2023-12-06,24,93.0,94.7,Completed,2,2024-02-25,1,1,PWD,Government,CONT-3870,Contractor 31,2511435.63,TND-78021,2649814.45,5,2427035.95,2452681.15,Direct Contract,3790,3736,synthetic
MPLAD-ROA-0064,Road Project 64,road,road,Karnataka,District D,Constituency 3,Location 64,11.13705,85.95888,3270000.0,3169212.86,2419778.34,1897465.81,3404430.59,3,2023-04-24,2023-05-21,2024-01-16,2024-02-14,29,71.9,71.2,Completed,1,2024-03-15,2,2,Rural Development Dept,Government,CONT-6700,Contractor 27,3057112.64,TND-53687,3178702.46,6,2999373.98,3157453.43,Limited Tender,6374,5913,synthetic
MPLAD-ROA-0065,Road Project 65,road,road,Tamil Nadu,District D,Constituency 16,Location 65,23.50616,78.98801,2473000.0,2530772.84,2355621.77,1423247.55,2737325.3,7,2023-06-21,2023-07-07,2024-03-03,,-7,43.3,43.1,Ongoing,0,,2,1,Municipal Corporation,Government,CONT-7561,Contractor 49,2230196.2,TND-82102,2408999.12,6,2119505.94,2133201.48,Open Tender,4877,4290,synthetic
MPLAD-ROA-0066,Road Project 66,road,road,Maharashtra,District D,Constituency 17,Location 66,29.34538,78.11115,2804000.0,2699466.81,2589863.38,1793536.4,2628215.68,3,2023-04-27,2023-05-12,2024-01-07,2024-02-12,36,84.6,88.2,Completed,3,2023-10-24,3,2,PWD,Government,CONT-9889,Contractor 30,2852160.28,TND-64165,2895167.07,3,2628673.71,2746996.74,Open Tender,5533,4803,synthetic
MPLAD-ROA-0067,Road Project 67,road,road,Karnataka,District D,Constituency 2,Location 67,19.47813,86.12466,2728000.0,2795165.34,2509249.72,2270393.27,2481130.9,5,2023-02-18,2023-04-02,2023-11-28,2023-12-16,18,64.2,59.6,Completed,7,2024-04-23,3,1,Zilla Parishad,Government,CONT-5375,Contractor 36,2665797.88,TND-27172,2836820.14,2,2826603.69,3015237.2,Limited Tender,4788,5209,synthetic
MPLAD-ROA-0068,Road Project 68,road,road,Bihar,District B,Constituency 6,Location 68,10.91603,73.55447,2947000.0,2939436.85,2158096.29,1693427.71,2744565.83,1,2023-04-23,2023-06-03,2024-01-29,2024-02-18,20,84.7,81.3,Completed,0,,0,0,Municipal Corporation,Government,CONT-1224,Contractor 36,2818507.66,TND-63476,2961762.09,3,2789804.96,3052904.72,Open Tender,5829,5084,synthetic
MPLAD-ROA-0069,Road Project 69,road,road,Uttar Pradesh,District D,Constituency 10,Location 69,26.19644,83.38163,2397000.0,2483620.39,2369260.35,2248883.17,2646256.2,3,2023-02-27,2023-03-16,2023-11-11,2023-12-14,33,70.1,72.7,Completed,5,2023-05-15,3,0,Municipal Corporation,Government,CONT-7807,Contractor 31,2204663.08,TND-71894,2451167.38,4,2438346.45,2557433.86,Open Tender,4575,4227,synthetic
MPLAD-ROA-0070,Road Project 70,road,road,Tamil Nadu,District A,Constituency 10,Location 70,27.98433,70.19857,2577000.0,2593756.17,2351669.47,3438133.42,4736625.89,9,2023-02-18,2023-04-01,2023-11-27,2024-01-05,39,66.4,91.58663239654187,Completed,3,2023-10-30,2,2,Municipal Corporation,Government,CONT-9022,Contractor 10,2456673.91,TND-68529,2650133.14,5,2460976.91,2669679.51,Direct Contract,5673,5967,synthetic
MPLAD-ROA-0071,Road Project 71,road,road,Karnataka,District D,Constituency 11,Location 71,9.2673,78.75876,2946000.0,2842562.42,2250403.41,2099912.83,2892185.14,2,2023-05-04,2023-06-05,2024-01-31,2024-02-26,26,99.9,98.6,Completed,5,2024-03-09,1,1,Zilla Parishad,Government,CONT-4912,Contractor 37,3002355.8,TND-60196,2826095.04,5,2618423.56,2807841.57,Open Tender,4780,4832,synthetic
MPLAD-ROA-0072,Road Project 72,road,road,Karnataka,District D,Constituency 5,Location 72,23.42156,77.58246,2857000.0,2720701.9,2167399.29,1824660.74,3001382.53,4,2023-04-16,2023-04-28,2023-12-24,2024-01-19,26,89.8,94.6,Completed,3,2023-12-26,0,0,Rural Development Dept,Government,CONT-1606,Contractor 9,2730472.9,TND-75836,2732018.31,5,2623692.33,2885628.0,Direct Contract,4182,4516,synthetic
MPLAD-ROA-0073,Road Project 73,road,road,Maharashtra,District D,Constituency 1,Location 73,25.47054,78.9363,2403000.0,2521017.68,2329838.51,2053041.64,2574761.2,1,2023-03-26,2023-04-11,2023-12-07,,19,86.0,83.0,Ongoing,4,2023-11-22,4,1,Zilla Parishad,Government,CONT-7717,Contractor 42,2298558.71,TND-30232,2393804.4,5,2322939.4,2429373.44,Open Tender,3888,3204,synthetic
MPLAD-ROA-0074,Road Project 74,road,road,Karnataka,District A,Constituency 11,Location 74,18.79376,83.98079,2977000.0,2830242.59,2029804.91,1391603.81,3259973.57,9,2023-05-01,2023-05-27,2024-01-22,2024-02-06,15,96.9,96.6,Completed,0,,1,0,Rural Development Dept,Government,CONT-6188,Contractor 41,2802422.7,TND-73956,2910199.79,7,2582604.22,2652838.07,Direct Contract,4000,4111,synthetic
MPLAD-ROA-0075,Road Project 75,road,road,Tamil Nadu,District B,Constituency 3,Location 75,30.72886,87.41241,2763000.0,2875298.67,2132820.68,1711204.39,2529977.7,9,2023-01-10,2023-01-24,2023-09-21,2023-10-10,19,76.4,74.9,Completed,1,2024-01-09,4,1,Rural Development Dept,Government,CONT-2612,Contractor 49,2789588.75,TND-93066,2895982.39,3,2524557.48,2707627.21,Direct Contract,4442,3964,synthetic
MPLAD-ROA-0076,Road Project 76,road,road,Maharashtra,District A,Constituency 11,Location 76,20.30006,84.51527,2521000.0,2576464.03,2126605.63,1347756.08,2282787.66,3,2023-01-26,2023-03-05,2023-10-31,2023-11-27,27,99.2,96.5,Completed,5,2023-08-05,2,1,PWD,Government,CONT-5806,Contractor 23,2305793.26,TND-59131,2612256.9,4,2475494.85,2610516.23,Limited Tender,6914,5660,synthetic
MPLAD-ROA-0077,Road Project 77,road,road,Uttar Pradesh,District B,Constituency 6,Location 77,10.25687,76.42008,2709000.0,2663005.26,2468673.65,1968437.98,2549647.38,9,2023-02-07,2023-03-04,2023-10-30,2023-11-07,8,68.2,72.0,Completed,6,2023-12-18,0,0,PWD,Government,CONT-7267,Contractor 40,2480959.24,TND-99539,2751471.73,2,2502758.52,2526136.28,Open Tender,3642,3117,synthetic
MPLAD-ROA-0078,Road Project 78,road,road,Tamil Nadu,District D,Constituency 9,Location 78,15.672,87.79149,2882000.0,2920786.65,2743711.76,2059070.02,3009956.02,7,2023-05-08,2023-05-27,2024-01-22,2024-02-12,21,66.3,68.3,Completed,6,2024-04-17,1,1,PWD,Government,CONT-8622,Contractor 19,2784151.81,TND-98815,2915228.89,7,2852642.1,2886201.72,Direct Contract,5852,5980,synthetic
MPLAD-ROA-0079,Road Project 79,road,road,Bihar,District C,Constituency 14,Location 79,19.8611,84.90849,3165000.0,3322325.24,3302174.46,2804638.89,3104082.61,5,2023-02-10,2023-02-24,2023-10-22,2023-11-01,10,65.2,67.1,Completed,1,2023-08-19,2,2,Municipal Corporation,Government,CONT-8484,Contractor 20,3284419.25,TND-36111,3041801.88,5,2728960.21,2857540.05,Limited Tender,4834,4386,synthetic
MPLAD-ROA-0080,Road Project 80,road,road,Tamil Nadu,District C,Constituency 10,Location 80,14.70263,81.57187,3588000.0,3439879.99,3149978.03,2392865.43,3330510.06,4,2023-05-04,2023-05-20,2024-01-15,2024-02-07,23,67.7,68.8,Completed,5,2024-03-07,0,0,PWD,Government,CONT-7484,Contractor 18,3398689.72,TND-11061,3409969.59,7,3336179.86,3411971.05,Direct Contract,5421,5698,synthetic
MPLAD-SCH-0081,School Project 81,school,school,Uttar Pradesh,District B,Constituency 5,Location 81,18.14116,70.75644,1899000.0,1817059.18,1687950.92,1274666.96,1880189.37,8,2023-01-24,2023-02-21,2023-08-20,2023-09-15,26,90.4,94.4,Completed,2,2023-09-21,3,0,Municipal Corporation,Government,CONT-9697,Contractor 33,1820122.96,TND-45720,1876117.6,7,1838003.41,1938477.54,Open Tender,840,699,synthetic
MPLAD-SCH-0082,School Project 82,school,school,Tamil Nadu,District A,Constituency 15,Location 82,15.13371,75.39854,1981000.0,2073362.82,1530631.46,1329998.68,1796358.43,9,2023-03-07,2023-04-16,2023-10-13,,32,88.5,89.7,Ongoing,5,2023-09-14,0,0,PWD,Government,CONT-3306,Contractor 49,1861144.29,TND-39571,1891087.08,2,1740396.17,1792828.26,Direct Contract,879,860,synthetic
MPLAD-SCH-0083,School Project 83,school,school,Bihar,District C,Constituency 3,Location 83,19.1464,72.47543,2128000.0,2211481.97,1670993.68,1052739.86,2230793.88,3,2023-06-22,2023-07-27,2024-01-23,,33,29.2,32.1,Ongoing,0,,4,2,Rural Development Dept,Government,CONT-1228,Contractor 17,1945159.25,TND-80329,2215168.59,5,2171491.5,2185538.2,Open Tender,717,769,synthetic
MPLAD-SCH-0084,School Project 84,school,school,Tamil Nadu,District D,Constituency 12,Location 84,19.2714,78.10838,2072000.0,2060268.34,1817418.07,1526443.75,2327127.06,1,2023-04-27,2023-05-30,2023-11-26,2024-01-09,44,69.5,69.6,Completed,1,2024-05-08,4,2,PWD,Government,CONT-4830,Contractor 31,1943864.9,TND-13280,2043375.96,5,1922021.4,2096421.81,Direct Contract,918,800,synthetic
MPLAD-SCH-0085,School Project 85,school,school,Maharashtra,District D,Constituency 10,Location 85,19.84512,82.64066,1831000.0,1826292.21,1602133.53,1288216.05,1852728.54,3,2023-05-24,2023-06-23,2023-12-20,,54,78.3,73.8,Ongoing,4,2023-10-14,1,0,Rural Development Dept,Government,CONT-2911,Contractor 9,1724203.83,TND-15943,1888984.51,2,1780481.2,1800749.91,Open Tender,816,866,synthetic
MPLAD-SCH-0086,School Project 86,school,school,Bihar,District B,Constituency 13,Location 86,9.70418,71.44324,1351000.0,1409015.55,1056143.36,790155.23,1368089.14,9,2023-03-19,2023-04-29,2023-10-26,2023-11-23,28,86.8,84.4,Completed,6,2023-08-27,2,2,Rural Development Dept,Government,CONT-7078,Contractor 43,1378091.92,TND-80804,1372975.98,6,1191954.25,1241890.91,Limited Tender,855,876,synthetic
MPLAD-SCH-0087,School Project 87,school,school,Maharashtra,District D,Constituency 20,Location 87,13.18523,78.39894,2051000.0,2022679.79,1776111.56,1072504.7,2193888.02,8,2023-05-31,2023-06-19,2023-12-16,,26,60.9,65.0,Ongoing,3,2024-05-19,1,1,Rural Development Dept,Government,CONT-5583,Contractor 3,1849501.54,TND-58566,2035009.23,4,1866770.87,1882524.99,Open Tender,927,966,synthetic
MPLAD-SCH-0088,School Project 88,school,school,Maharashtra,District D,Constituency 3,Location 88,30.71947,76.11584,1941000.0,2008081.81,1822831.94,1391502.16,4118478.47,2,2023-04-03,2023-04-19,2023-10-16,2023-10-18,2,72.3,75.2,Completed,6,2023-05-20,2,2,Zilla Parishad,Government,CONT-1349,Contractor 4,1795481.35,TND-53713,1927515.74,1,1651335.05,1651335.05,Open Tender,947,974,synthetic
MPLAD-SCH-0089,School Project 89,school,school,Bihar,District B,Constituency 19,Location 89,29.602,72.0905,1576000.0,1561757.51,1239044.14,1062239.78,1446654.48,5,2023-02-02,2023-02-25,2023-08-24,2023-10-01,38,84.2,82.8,Completed,4,2024-03-22,1,1,Zilla Parishad,Government,CONT-4817,Contractor 22,1427618.66,TND-29340,1502078.63,4,1312822.34,1315888.06,Direct Contract,758,672,synthetic
MPLAD-SCH-0090,School Project 90,school,school,Uttar Pradesh,District C,Constituency 6,Location 90,21.93122,72.50554,2480000.0,2466143.67,2462339.38,1987710.72,2525883.99,3,2023-01-01,2023-01-28,2023-07-27,,23,22.1,17.4,Ongoing,5,2023-04-12,2,2,PWD,Government,CONT-1422,Contractor 9,2420770.05,TND-11947,2523992.06,6,2511277.72,2651333.89,Limited Tender,675,610,synthetic
MPLAD-SCH-0091,School Project 91,school,school,Maharashtra,District B,Constituency 14,Location 91,30.65701,72.67833,2097000.0,2156216.83,1984524.57,1417319.6,1995981.74,3,2023-03-02,2023-04-01,2023-09-28,2023-10-12,14,73.0,75.9,Completed,3,2023-08-14,2,2,PWD,Government,CONT-2041,Contractor 31,2031510.61,TND-68756,2000114.73,7,1937264.06,1961445.15,Limited Tender,693,736,synthetic
MPLAD-SCH-0092,School Project 92,school,school,Bihar,District A,Constituency 17,Location 92,18.75966,79.18778,2262000.0,2170088.7,2010340.59,1582005.0,2325846.32,7,2023-05-12,2023-05-28,2023-11-24,2023-12-12,18,80.9,81.5,Completed,6,2023-09-18,3,2,Municipal Corporation,Government,CONT-8504,Contractor 42,2036874.85,TND-14082,2293712.86,2,2256929.8,2271026.04,Open Tender,492,523,synthetic
MPLAD-SCH-0093,School Project 93,school,school,Karnataka,District D,Constituency 3,Location 93,24.80082,71.87927,1994000.0,2038407.77,1850384.49,1204758.23,2137429.44,7,2023-05-03,2023-06-07,2023-12-04,2023-12-18,14,72.0,70.6,Completed,2,2023-08-01,1,1,PWD,Government,CONT-6277,Contractor 39,1798881.7,TND-29442,2041431.18,2,1929021.71,1942337.66,Open Tender,874,931,synthetic
MPLAD-SCH-0094,School Project 94,school,school,Bihar,District C,Constituency 13,Location 94,11.65591,74.79102,2146000.0,2055363.55,1690049.21,1275480.93,2193012.32,6,2023-02-02,2023-03-01,2023-08-28,2023-09-14,17,64.4,67.5,Completed,3,2023-12-25,1,1,Municipal Corporation,Government,CONT-8433,Contractor 33,1954867.1,TND-89354,2125156.61,5,2081612.4,2165148.76,Limited Tender,712,632,synthetic
MPLAD-SCH-0095,School Project 95,school,school,Bihar,District B,Constituency 14,Location 95,11.80698,85.87586,1921000.0,1947985.45,1935702.11,1605330.75,1837450.43,8,2023-01-26,2023-02-12,2023-08-11,,-10,38.6,40.1,Ongoing,3,2024-01-11,2,1,Rural Development Dept,Government,CONT-4743,Contractor 27,1934625.45,TND-54424,1982958.93,7,1853061.91,1875290.07,Limited Tender,836,769,synthetic
MPLAD-SCH-0096,School Project 96,school,school,Karnataka,District C,Constituency 9,Location 96,21.72342,86.3296,2128000.0,2033161.86,1879848.38,1354774.74,2250124.69,3,2023-04-13,2023-05-19,2023-11-15,2023-12-05,20,61.9,59.7,Completed,1,2023-10-26,1,1,Municipal Corporation,Government,CONT-3500,Contractor 44,2016153.43,TND-72163,2043282.7,2,1776612.83,1876988.68,Open Tender,798,845,synthetic
MPLAD-SCH-0097,School Project 97,school,school,Tamil Nadu,District B,Constituency 18,Location 97,19.42323,71.9976,2255000.0,2359649.68,1714962.38,1476698.06,2242213.05,3,2023-01-24,2023-02-08,2023-08-07,2023-08-24,17,79.8,78.7,Completed,2,2023-03-29,1,1,PWD,Government,CONT-6400,Contractor 43,2065139.68,TND-26021,2318551.28,5,2318365.65,2342663.99,Limited Tender,411,435,synthetic
MPLAD-SCH-0098,School Project 98,school,school,Maharashtra,District C,Constituency 20,Location 98,16.82686,71.04566,1991000.0,1901873.88,1769256.76,1341577.3,1975974.55,6,2023-04-01,2023-05-08,2023-11-04,,24,27.0,28.6,Ongoing,4,2024-05-11,1,1,Municipal Corporation,Government,CONT-6761,Contractor 7,1984479.26,TND-85748,1970120.56,7,1733474.19,1887790.66,Direct Contract,848,751,synthetic
MPLAD-SCH-0099,School Project 99,school,school,Maharashtra,District C,Constituency 18,Location 99,16.82561,73.27131,2069000.0,2107906.4,1628498.22,1540894.96,1913756.11,7,2023-02-24,2023-03-15,2023-09-11,2023-10-23,42,93.5,95.6,Completed,1,2023-07-07,3,2,Municipal Corporation,Government,CONT-2882,Contractor 49,1985509.93,TND-46512,2123271.74,5,1889898.47,1931439.45,Direct Contract,677,619,synthetic
MPLAD-SCH-0100,School Project 100,school,school,Tamil Nadu,District C,Constituency 1,Location 100,21.97301,87.82376,2041000.0,1998814.29,1862780.11,1484309.76,3294259.5,7,2023-05-24,2023-07-08,2024-01-04,,289,10.1,48.02917483275861,Ongoing,0,,4,1,Zilla Parishad,Government,CONT-3347,Contractor 37,1906774.26,TND-96159,1989281.8,5,1832148.69,1843089.64,Limited Tender,565,565,synthetic
